0,AggregatedData
50%,2002.0,1240663.0,0.0026117747440273036,2.2711352198423407e-05,0.000293753720620732,0.0008899274833566446,0.0014049450035609205,0.0495511073949867,0.008802867762189682,0.035701757354500936,0.004689019279128248,3.444941501101324,0.05193159648465667,0.9480684035153434,10.8,0.00568155562841482
75%,2008.0,1288198.0,0.0027409359948979985,3.7115235213585526e-05,0.0003044953350296862,0.000992241379310345,0.0015223538580205482,0.058014142438357556,0.010794763513513514,0.04158149779735683,0.006020234959525413,3.5190681919191515,0.06914776429131352,0.9534852592301557,11.4,0.005968617472434266
max,2014.0,1419561.0,0.0029561920808761585,4.717775905644482e-05,0.0003793103448275862,0.001356418918918919,0.0016306638933026966,0.06902948609941027,0.012344493392070485,0.050469250210615,0.007987664659943917,3.787661524082478,0.10531476196437833,0.9643093729254283,13.9,0.006548682733554935
0,Idaho
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,1342795.16,0.0025368658019548694,2.441515214200511e-05,0.00033255894350109577,0.00017531115859322296,0.001997211328885979,0.028928141895628832,0.005870425449950799,0.021477620415610917,0.0015800960300671114,0.4639843389075622,0.04757718275525958,0.9524228172447402,12.663999999999998,0.0017339194767596964
std,7.359800721939872,197818.95958819686,0.0002850078507647993,7.76875280656068e-06,5.0014497940669674e-05,2.9671222313736455e-05,0.0002787371097838295,0.007427055542378026,0.0013749241019505817,0.005725170069534485,0.0004526360458813355,0.049362749094288755,0.01417585251800137,0.01417585251800137,1.8377703882694376,0.0007911334758359404
min,1990.0,1006749.0,0.002021791400630405,1.2365209555524815e-05,0.0002632464255677039,0.00011870605350359654,0.001579818990441103,0.018547976584372614,0.003932787751825675,0.013598953540732619,0.0008404136021983351,0.403979804605904,0.02614600273868725,0.9284966858796468,9.5,0.0007432987170889765
25%,1996.0,1189000.0,0.0024314981617995055,1.880182252332993e-05,0.00028873917228103947,0.00015684308341689548,0.0018588919612810397,0.02096053591772235,0.004537506502296956,0.015551124424149358,0.0010893703701759267,0.4197954346194029,0.041119239161432806,0.9399183542289233,11.5,0.0011104557824461107
50%,2002.0,1343124.0,0.002524821226118723,2.2717204875112165e-05,0.0003199319462588733,0.00017815770552049212,0.0019533122004355774,0.029050890788527604,0.005664811627624806,0.02143005512502996,0.0016611374973149718,0.4474091744321448,0.04483257276553366,0.9551674272344663,12.5,0.0016795485701160322
75%,2008.0,1523816.0,0.0027573903723768288,2.9292107404393817e-05,0.0003719754353891607,0.00019586776859504133,0.002247422680412371,0.03668429752066116,0.0070908326324642555,0.02711101000909918,0.0019355773155605494,0.5009243061396131,0.06008164577107663,0.9588807608385672,14.1,0.0022113925061915795
max,2014.0,1634464.0,0.0032201203783319005,4.12725709372313e-05,0.0004257637226371547,0.00023989681857265692,0.002655202063628547,0.040794496990541704,0.008259865255052935,0.03057609630266552,0.002420464316423044,0.5501337824831569,0.07150331412035314,0.9738539972613127,15.7,0.004394724098997857
0,Illinois
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,12371600.6,0.006739244588862084,7.845212698573336e-05,0.0003277759450828526,0.002391302508039207,0.003933882429236326,0.03569087723497725,0.007312742984308129,0.024577441736037157,0.0038006925146319565,0.05422546014158854,0.056473265741036414,0.9435267342589634,12.352,0.003565173135730414
std,7.359800721939872,523909.6046378134,0.002207535209688807,2.188814291659002e-05,4.472135276716987e-05,0.0009653694017963428,0.00127142231798324,0.00892467072663888,0.0020643107526694226,0.005385828478205092,0.001559795863225832,0.00510620239254719,0.014366290159476557,0.014366290159476564,1.5240078739954068,0.0009001924198628702
min,1990.0,11430602.0,0.0037003768463842466,5.3180835024509766e-05,0.00023561885174768534,0.0011877570730510583,0.0021365497516416185,0.020758770179603713,0.0038824338655557436,0.01552150601913889,0.0013548302949090802,0.043085569771390865,0.0307527742578562,0.9103451356852192,9.9,0.0025844044211449997
25%,1996.0,11847000.0,0.005253627021780229,6.031917302883797e-05,0.00031612105455600413,0.0017764294821529488,0.0030087827343090135,0.029326291705896408,0.006030018103996551,0.02068082758654901,0.0025246553460228035,0.05206364480459188,0.049244379964868114,0.9387651053727452,11.2,0.0031177336914147103
50%,2002.0,12586447.0,0.006019093394664912,7.230685353828112e-05,0.0003319693744878861,0.001991257826235898,0.003584331622736742,0.03420178863820743,0.0063224093301183755,0.024170999170774723,0.003560337559916631,0.05439096513893079,0.05408284890495881,0.9459171510950412,12.4,0.0033016715490913396
75%,2008.0,12852548.0,0.008903688697560563,9.951886553557863e-05,0.00035429328096026096,0.002794462733181396,0.005235944703524801,0.04429619312906221,0.009131847725162488,0.03018960270498732,0.0049022537351228156,0.05864492751546446,0.06123489462725486,0.9507556200351319,13.6,0.003741723140771975
max,2014.0,12910409.0,0.01039201247509313,0.00011725663716814159,0.00039980940829940226,0.004561465823442779,0.006184530853761623,0.050928528112275835,0.011200207918218835,0.033175257731958764,0.006553062462098242,0.06052794206472069,0.08965486431478077,0.9692472257421438,15.6,0.006510421114577138
0,Indiana
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,6114334.68,0.004006979369700252,6.155455172781273e-05,0.0003066667224646028,0.0011344936684218867,0.002497040022412236,0.03536303199437729,0.007624740710658102,0.02434160562976813,0.003396685653951063,1.0432371918743686,0.06582247381383646,0.9341775261861636,11.983999999999998,0.0009805297495019095
std,7.359800721939872,329982.7663930244,0.000802880958547733,1.2181216639107202e-05,5.205235360637284e-05,0.00010227202460427534,0.0006878623723025762,0.004520044911306724,0.0009899805322137495,0.002847330914381438,0.0008813219932824613,0.02809777258891995,0.018725444494660213,0.018725444494660223,3.023474822121064,0.00037625418521322916
min,1990.0,5544159.0,0.003215797209797387,4.12903416652518e-05,0.00024481362709958003,0.0010096696402541413,0.0017353235595990826,0.02649383683588619,0.005592513402219694,0.018800170687395736,0.002079923927167535,0.9865861838709507,0.043439245163189,0.8961139892071774,6.7,0.00047646128304675803
25%,1996.0,5841000.0,0.003358397072221612,5.075052151781962e-05,0.0002704066582970169,0.0010454981957311476,0.0019098323704569455,0.03350258248975347,0.006978911960237274,0.02310472099450633,0.002744326614385415,1.0207540972190339,0.05161456880749398,0.9256055867609035,9.4,0.0006305515782004333
50%,2002.0,6156913.0,0.0035958045953308265,5.789011896254986e-05,0.0002892861342475148,0.0011122224105780641,0.0021586977550543418,0.03403641542642403,0.007483104084631643,0.023862282846969677,0.0034196454592683636,1.0504820190223014,0.06202248441533311,0.9379775155846669,11.8,0.0009694219164519609
75%,2008.0,6376792.0,0.004890775424470506,7.33287858117326e-05,0.00033258659314147854,0.0011981445825310696,0.0032843574652169968,0.03961239513781887,0.008215750473892815,0.02701944065484311,0.00428018417462483,1.0646282232426705,0.07439441323909646,0.9483854311925061,14.6,0.00137442218798151
max,2014.0,6596855.0,0.005369970895394624,8.194984104556694e-05,0.0004235252560932533,0.001351714630363605,0.0037159732922444786,0.043124777183600714,0.009770766488413548,0.028705704099821747,0.004656729277959676,1.0883575210154097,0.10388601079282252,0.956560754836811,16.5,0.0015659141823194899
0,Iowa
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,2933122.0,0.0028892856943026073,1.6896427310381275e-05,0.00025545453506075103,0.0004094394721061844,0.0022002700220521746,0.029696297846538502,0.006311939977604297,0.021659635191453773,0.0017247226774804298,1.0623694772821046,0.05691222890515169,0.9430877710948483,10.012,0.0011886644783618845
std,7.359800721939872,99548.4870385616,0.00022150882552310293,3.26159009048933e-06,4.016458705181893e-05,7.370096003316511e-05,0.00018137033213009798,0.005431531784570544,0.0009628288006632105,0.004326428025801095,0.0003000867692048172,0.028755851422926186,0.020523468647142808,0.02052346864714283,1.3320785762609249,0.00039020602148837953
min,1990.0,2776755.0,0.0025726992324329157,1.245819129356023e-05,0.00018366762642004787,0.00026892099042556423,0.0020067902550082455,0.02093767681130408,0.004643519445300899,0.014958196095040883,0.001245819129356023,0.9992286225402505,0.030409643427681973,0.8961991637681579,7.4,0.0005549808271729344
25%,1996.0,2852000.0,0.0027302939746942528,1.4900585999409395e-05,0.0002213531052702844,0.00036627700508780017,0.0020516673977657874,0.024403549643553575,0.005593750193086982,0.01741816552902445,0.0014574254260121796,1.0384785468606248,0.045717932307070726,0.940317110443691,9.2,0.000857022476768849
50%,2002.0,2935840.0,0.002857103929369448,1.661364439731354e-05,0.0002664842043740743,0.0003958036984352774,0.0021467805436164123,0.029673405952314234,0.006071311495395719,0.021890049408968666,0.0017895646252386811,1.0727778485179336,0.05288542799640841,0.9471145720035916,10.3,0.0011661113511850577
75%,2008.0,3002555.0,0.0030019618171875533,1.858345021037868e-05,0.00028561562813182425,0.00044973166368515206,0.002320126227208976,0.03376437587657784,0.006737246680642907,0.025000350631136044,0.0019083155650319828,1.0831873453517145,0.05968288955630891,0.9542820676929292,10.7,0.0015005302226935313
max,2014.0,3107126.0,0.003543631245601689,2.5644825823340454e-05,0.00032462686317412783,0.0005585553997194951,0.00277762139338494,0.03830733452593918,0.008324508050089446,0.028275491949910556,0.0023429172510518936,1.103158339197748,0.10380083623184207,0.9695903565723181,13.2,0.001897242356531691
0,Kansas
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,2699211.8,0.004112711839211448,4.7907243759903654e-05,0.00040627541288125576,0.000825546099492628,0.0028243215910414687,0.03922444447373186,0.008514469753018186,0.02792724852905641,0.002782726191657261,0.5257126786414758,0.04814314082568561,0.9518568591743143,11.816,0.0015656368039318911
std,7.359800721939872,134308.2293160028,0.00046141783956688925,1.3122907880605117e-05,3.213778302259037e-05,0.0002715567991200587,0.0002514830241752347,0.006386984312759825,0.0021839857671431284,0.004226692681516493,0.0004478329361473136,0.008757654002273593,0.009754334088739765,0.00975433408873977,1.7208718720462604,0.0003954525252708984
min,1990.0,2477574.0,0.0034284123805468675,2.8763511936304308e-05,0.00034636357954155,0.0004623936520499855,0.002478416161884052,0.027352074933342425,0.005450373809280305,0.0195236191473822,0.0021055260265051452,0.5130104208416834,0.032778387266029,0.9294938555161759,8.0,0.0008635042449712585
25%,1996.0,2572000.0,0.0037787655325370734,3.818447930599349e-05,0.0003829627663150803,0.0006336148650446457,0.002653549387514417,0.033860621940278376,0.0069238752159617376,0.024205123666462776,0.0023780819766799207,0.5187621878715815,0.04251354065731461,0.9470292402147338,10.8,0.0011873347083079225
50%,2002.0,2711769.0,0.004065636256109541,4.462820861273214e-05,0.00040142236270248916,0.0007712735093359136,0.002756719248739418,0.040104433889487104,0.00759180274783735,0.02916596018916715,0.0026595185651875214,0.5267096009482418,0.04538205405463384,0.9546179459453662,11.7,0.0015957610789980733
75%,2008.0,2802134.0,0.004326944818791097,6.132264529058116e-05,0.0004261275272161742,0.000976878612716763,0.0029694044907187483,0.044546976036515785,0.00981298600311042,0.030382970451010887,0.0032267878308968787,0.5333188752377944,0.052970759785266226,0.9574864593426854,12.8,0.00196199992411932
max,2014.0,2904021.0,0.00510820451843044,6.656225528582616e-05,0.00046361721572465677,0.0013839679358717434,0.00335555117674839,0.050347094188376754,0.013066533066132265,0.03538458574181118,0.003509819639278557,0.5387596044123241,0.07050614448382404,0.967221612733971,14.9,0.002153876272513704
0,Kentucky
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,4075554.92,0.00309505101298232,5.162736660881722e-05,0.0003051431049985395,0.0008520895743321799,0.0018748239894642177,0.026702848643004623,0.006813808158216382,0.017853025795918485,0.002036014688869751,0.4775650271542068,0.06384462906349189,0.936155370936508,16.572,0.0009049967757945979
std,7.359800721939872,232791.72954379916,0.0008511266702685954,1.0878899892312309e-05,4.1387112887734136e-05,8.150684555676873e-05,0.0008170732737149282,0.0017805546230724029,0.0005982980710631066,0.0010378003470837142,0.00038012199284558637,0.008248243940595883,0.016658797392312626,0.016658797392312637,2.5820728107472104,0.0004356224929483585
min,1990.0,3685296.0,0.0021092908123338055,3.45789859609317e-05,0.00020006992251199004,0.0006905822490242303,0.00095804534202446,0.022469007854840323,0.005266619794868286,0.015770857176131997,0.0013794489159540803,0.4540325191794097,0.04170479987505704,0.8965925644036344,12.1,0.00030928136379260065
25%,1996.0,3884000.0,0.0024845872785343266,4.3951358230523173e-05,0.00028125,0.0007890222570430739,0.001308032497062548,0.02545978119870592,0.006357261429121458,0.01702989134043244,0.0017935255531130211,0.4741577102902457,0.05400627226774711,0.9311811672538408,14.7,0.00047291734252777714
50%,2002.0,4089822.0,0.0029067725040870227,4.77513682746342e-05,0.00031668383110195674,0.0008484446555314699,0.0016283909684265017,0.02655127778177143,0.006821653389592509,0.01785461362216205,0.002146242930245085,0.4760431726515319,0.05892539340518446,0.9410746065948156,17.0,0.0009451307088554541
75%,2008.0,4269245.0,0.0032797256097560974,5.870236869207003e-05,0.0003405543966746936,0.0009073694984646878,0.0020571646341463416,0.027970176827659014,0.0072910785619174434,0.01842503328894807,0.0022391799688196274,0.48132601720008966,0.0688188327461592,0.9459937277322529,17.9,0.0013626943005181347
max,2014.0,4413457.0,0.005354727030625832,7.163603683394767e-05,0.00035488175669019334,0.0010365284974093265,0.004103595206391478,0.029869948186528498,0.007965526528413681,0.019923834196891192,0.0026112255406797115,0.4946994628644285,0.10340743559636555,0.958295200124943,22.0,0.0015287781497062922
0,Louisiana
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,4422530.88,0.0074017919560532604,0.00013735222041258454,0.00034659494531422646,0.0018424287260762199,0.005067671278803306,0.04630730449883573,0.011101019942251657,0.03088952649980982,0.004316758056774267,0.4465579233434813,0.06400349079744075,0.9359965092025593,19.624000000000002,0.0008175324021135147
std,7.359800721939872,124109.18962997865,0.0017177951997092262,3.1097944503610845e-05,6.463735986330066e-05,0.0006341085319423567,0.0010467497708084772,0.0085370421879495,0.0017457766821177263,0.005469957538178355,0.0015932961836432615,0.0334786737571706,0.0108894722312078,0.010889472231207795,3.2010779434434267,0.00018103740837783133
min,1990.0,4219973.0,0.004962697739787672,9.983735385752678e-05,0.00021334819888525565,0.0011443208242782254,0.0034195006055886246,0.03458821646927657,0.008245090625669402,0.024215880848472024,0.001710510819545889,0.32938361970753866,0.04255091758526978,0.9196141177939776,14.3,0.00045437089044492185
25%,1996.0,4315000.0,0.006369411159932928,0.00011060675015946171,0.00030075181274760265,0.0013690774599539278,0.004366442136155521,0.03842744423736375,0.010064825919717043,0.02540072785945741,0.0030751818946058718,0.44860348071495765,0.057429640863221956,0.9292682774410982,17.0,0.0006925523878400779
50%,2002.0,4410796.0,0.006862522280044954,0.00012817578393224994,0.0003415849900987268,0.0015913079689164362,0.004892087505293829,0.04442124019702461,0.010446840169222427,0.02978022390460463,0.004509636762676847,0.4531858022902155,0.06408779557306182,0.9359122044269382,19.1,0.0008407391294188597
75%,2008.0,4506685.0,0.008984417672814495,0.00016933207902163687,0.0004133731617647059,0.0026720741599073,0.005692453482522282,0.05561884767902962,0.012393152573529412,0.035674830884068115,0.005984339014279134,0.4596485010494034,0.07073172255890184,0.942570359136778,21.2,0.0009839348079161815
max,2014.0,4649676.0,0.010616996507566938,0.00020349243306169964,0.0004456546929316338,0.0028363213038416764,0.0071541327124563445,0.05909675936566307,0.014378528014278764,0.039823259020914735,0.00631578947368421,0.47294235261124323,0.08038588220602239,0.9574490824147303,26.4,0.0010621512959671517
0,Maine
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,1284536.72,0.0012132290393261618,1.752659945148564e-05,0.0002508593558702932,0.00024215013620579792,0.0006950503115541989,0.027387035653096553,0.006031540594414767,0.020231741409485735,0.0011237536491960417,0.5242417445660335,0.05745659349122953,0.9425434065087706,11.916000000000002,0.0009321631705142002
std,7.359800721939872,39493.259949768646,9.527289502217088e-05,3.7573655138679305e-06,3.578971271978404e-05,3.5906668599541134e-05,0.00011008984724411049,0.004251151861496532,0.001313800712340449,0.0026793109575851634,0.0003084719232442983,0.007871308947810667,0.014646494657533678,0.014646494657533673,1.5739229121317644,0.0002996233650078334
min,1990.0,1227928.0,0.0010372741894394233,1.0811695783593097e-05,0.00018086816720257233,0.0001937371904028714,0.0005642649916158739,0.01986408428308181,0.0037817018259680367,0.015481670775414277,0.0006007116816994953,0.501333870967742,0.03362014938028564,0.9186488756933416,9.4,0.00043088407094415195
25%,1996.0,1242000.0,0.0011250018964967911,1.4792093236899265e-05,0.00021862348178137652,0.00021307506053268766,0.0006082042843776557,0.024501892369796937,0.005104297121825744,0.018393464352983245,0.0008955863317877695,0.5218323886639676,0.04637693413376173,0.9274317819311768,10.6,0.0006375606792919237
50%,2002.0,1294894.0,0.0012212035899317377,1.8062740930622517e-05,0.0002564516129032258,0.00023319838056680162,0.0006430667901936207,0.025468116049498554,0.005547774976099516,0.018990743643881276,0.0011035652339110383,0.5250852090032154,0.05297795639302516,0.9470220436069748,11.6,0.000905893271107275
75%,2008.0,1318301.0,0.001278109961062756,2.0112630732099758e-05,0.0002800148437976336,0.00026495455915433186,0.0007851971037811746,0.030281678773204198,0.007190476190476191,0.02215217391304348,0.0013481063658340048,0.5288953489684991,0.07256821806882316,0.9536230658662382,13.1,0.0011840193704600484
max,2014.0,1330089.0,0.0014324944133532259,2.4431399886638306e-05,0.0002975993902249229,0.000316145791384425,0.0009601540155448853,0.03635627530364372,0.009025101214574898,0.025697975708502026,0.0017663902118039494,0.5335184830492243,0.08135112430665838,0.9663798506197143,15.4,0.0015218987422588265
0,Maryland
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,5392953.76,0.0074200871329044675,9.427274794408717e-05,0.0002950374852316696,0.002816356785894135,0.004207873226718115,0.040059042891924836,0.008030712819346532,0.026633494357955367,0.005394835714622936,0.5319135265489895,0.05180348814075018,0.9481965118592498,9.224,0.003989068231053521
std,7.359800721939872,367270.1371639682,0.0017667937265836435,1.945735750596322e-05,9.794942136900556e-05,0.0009004498318501295,0.0008466109539961401,0.00918140080439485,0.002117805667330022,0.005620102060819984,0.0017449493924319378,0.006490099476892424,0.012929741459865968,0.012929741459865961,1.262365504387167,0.0010911382814562008
min,1990.0,4781468.0,0.004461041558916586,6.107348445311707e-05,0.0001914193594914135,0.0015969461249878063,0.0025321233978877274,0.025075099470300465,0.00468709711370059,0.018195715251655385,0.0021922871049444926,0.5195388442912597,0.03459320452026402,0.9234385364712634,7.2,0.0026182405450725487
25%,1996.0,5072000.0,0.006282487014956874,8.118590325736725e-05,0.00020984831117496543,0.0022965721161764844,0.00365130839142381,0.03431544953459596,0.006475154391331978,0.022659345885549194,0.0044967717783149916,0.5269401557940687,0.04229506208947627,0.938198458121195,8.4,0.0028938764690288944
50%,2002.0,5450525.0,0.007434207447781494,9.524137793411474e-05,0.00025135193398801033,0.0025599535020131856,0.004407697837859369,0.039831942794501446,0.007295627485425716,0.026294714729315067,0.005945883823835484,0.5312824886128357,0.04966158147415168,0.9503384185258483,9.6,0.0038797421535712545
75%,2008.0,5633597.0,0.009189646359653563,0.0001154457166711144,0.0003755914826498423,0.0036377949198865287,0.004933280063923292,0.049115041656662764,0.009923304416403786,0.032637612877895565,0.006833836858006042,0.5376098770329234,0.06180154187880509,0.9577049379105237,9.9,0.005183972788273392
max,2014.0,5976407.0,0.010001018744906276,0.00012729103726082577,0.0004641401792991035,0.004346827794561934,0.0051257131214343925,0.05307913526378421,0.011575720164609053,0.035328441094803646,0.007630243707550939,0.5431857086768748,0.07656146352873662,0.965406795479736,11.8,0.005881012658227848
0,Massachusetts
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,6333732.68,0.0054849396969369945,2.7464229544363416e-05,0.00028212620500186477,0.0012559543152539804,0.003912663470510982,0.028777959570849318,0.006540103178194018,0.018027967208491192,0.004209889184164109,0.5308015076639144,0.05670860252149382,0.943291397478506,10.735999999999999,0.004220273945683029
std,7.359800721939872,244463.5657328306,0.001301989622420095,7.140992103133425e-06,2.9381942794705155e-05,0.00035305434314761893,0.0010105778856941575,0.007965393247354085,0.0022134831900196016,0.0033919889467993888,0.002486668716566497,0.005247417344348492,0.016862549592025218,0.016862549592025225,1.1037360795649171,0.0010261209611235702
min,1990.0,5996000.0,0.003913625387819387,1.820834956660366e-05,0.00024149762327200963,0.0008948309724185698,0.00267604272417621,0.018570707657713216,0.003700888070817955,0.013645282835374821,0.0012245367515204418,0.523609774158823,0.02700778454549713,0.9137860611043835,8.7,0.002359573144202717
25%,1996.0,6092000.0,0.0046078515340411946,2.0569770724565704e-05,0.00026712460055343303,0.0010116909986996115,0.003127642459900159,0.023584384351149252,0.005234631771750339,0.01585749062565647,0.0019629216337971552,0.527993512974052,0.04609016573837377,0.9328074897974056,10.1,0.0034905222603549466
50%,2002.0,6407382.0,0.004778037244476161,2.668796709795046e-05,0.0002744428176346185,0.0011163536703105049,0.0034452905171555364,0.025628325652296283,0.0055097598714576035,0.016604723474850046,0.004075540190990939,0.5302527048668574,0.05533411828428838,0.9446658817157116,10.7,0.004420628634276654
75%,2008.0,6497967.0,0.006441811049362537,3.264451375386586e-05,0.00028994726584102517,0.0012767564018384768,0.004952497153082804,0.0319494418910046,0.007041365725541694,0.019626066973079448,0.005282009192383454,0.5328483989326217,0.06719251020259437,0.9539098342616262,11.3,0.004994279176201373
max,2014.0,6745408.0,0.00804940119760479,4.152768512341561e-05,0.0003611203734578193,0.0021710567321956147,0.005919993346640054,0.045862241494329554,0.011670613742494996,0.02525303647930457,0.00923588343576127,0.5434566455181389,0.0862139388956165,0.9729922154545029,13.6,0.00578461037904669
0,Michigan
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,9821302.12,0.005848040713470393,7.36725025271982e-05,0.0005516843212110678,0.0015047959209959455,0.003699701304375247,0.035985070799461054,0.007943240022570231,0.023088776813392786,0.004953053963498045,0.49783059466313817,0.07237637062042866,0.9276236293795712,12.660000000000002,0.0017328363495812897
std,7.359800721939872,251978.53099773536,0.0011834380179102817,1.5821362035182964e-05,0.00011498260800121035,0.0004810033618363568,0.0006156544106357612,0.00934024733570258,0.0017128748811811086,0.006263837494220804,0.0016211373560118855,0.012679200084747908,0.025459647795180982,0.025459647795180985,1.8553975315279474,0.0003269681930801563
min,1990.0,9295297.0,0.00427331237310009,5.398654292076481e-05,0.0004085822659554705,0.0008093945061073916,0.0027534318637755396,0.020438901512097474,0.004458582079273033,0.013845378706516741,0.002134940726307703,0.47282489413883244,0.03611579958247317,0.8634160965015142,9.4,0.0011089945919611312
25%,1996.0,9594000.0,0.0049976293232502755,6.248917347486044e-05,0.00046900997610022305,0.0011665316579905747,0.0032348929915533295,0.029499905132463672,0.007022226014454577,0.018449486585690376,0.0035742768824508254,0.4918439592177399,0.052692855623009356,0.9119554982777133,11.2,0.0014437614539369972
50%,2002.0,9882519.0,0.005538929306896299,6.750822271062242e-05,0.0005187231430325353,0.0013269694400874043,0.0036336467127452902,0.03336180693424948,0.007526974146268814,0.021344447164908548,0.005327222861622532,0.4995556704368051,0.07047844049790761,0.9295215595020924,13.0,0.0018095644748078565
75%,2008.0,10006266.0,0.006353033145716072,7.76550030693677e-05,0.0005697310819262039,0.0017622472378569939,0.00407324029744321,0.04482176360225141,0.008954346466541589,0.028862726704190118,0.006258026915333263,0.5063086562763269,0.08804450172228677,0.9473071443769906,14.1,0.0019563656761048087
max,2014.0,10104206.0,0.00803074295473954,0.0001077070879590094,0.0008000423863515948,0.0024327497865072587,0.004721143701202786,0.05334980785653288,0.011862297181895815,0.03469096925704526,0.007136512152328215,0.519475885762399,0.1365839034984858,0.9638842004175269,15.7,0.002391680669926068
0,Minnesota
,year,population,violentCrimeRate,murderManslaughterRate,rapeRate,robberyRate,aggravatedAssaultRate,propertyCrimeRate,burglaryRate,larcenyTheftRate,motorVehicleTheftRate,laborForceRate,unemploymentRate,employmentRate,povertyRate,admittedImmigrantRate
count,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
mean,2002.0,4952401.36,0.0028808772210578365,2.515337518602859e-05,0.0004174584654349387,0.0008841160323224625,0.0015459866381615367,0.03326845016379889,0.0062031935716177385,0.024366656723227974,0.0026985998689531753,0.5602759936488522,0.04637543437829585,0.9536245656217042,9.524,0.002257030860557712
